name,genre,lowenergy,zerocrossing_mean,centroid_mean,flux_mean,rolloff_mean,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,zerocrossing_var,centroid_var,flux_var,rolloff_var,MFCC_1_var,MFCC_2_var,MFCC_3_var,MFCC_4_var,MFCC_5_var
01 Menuet,classic,0.56887582,0.032159763,0.084160278,0.003300242,0.050972076,-24.62609155,2.131941967,-0.928210522,0.198627618,-0.314802849,3.77E-05,0.000593094,4.86E-05,0.000146101,3.593265545,0.584758441,0.250245566,0.153352952,0.12893878
01. Kyrie Eleison,classic,0.624645336,0.040528655,0.093502058,0.003130712,0.056897253,-25.37138205,1.811334426,-1.205720427,0.024983703,-0.158373468,5.28E-05,0.000338509,5.84E-05,0.000110628,7.318088245,0.251574814,0.201766099,0.09697438,0.129273321
02 Menuet,classic,0.520134228,0.082391381,0.173184791,0.001421924,0.121705197,-24.52708147,0.867797901,-0.650604499,-0.257240262,-0.250121484,0.000275993,0.000356067,4.51E-06,0.001445652,5.448859629,0.523421349,0.219000652,0.136934714,0.098685741
02. Christe Eleison,classic,0.586239077,0.03513164,0.107805586,0.002662763,0.04464422,-24.55319239,2.117502942,-0.329996687,-0.267650123,-0.485582448,0.000230054,0.000618381,1.56E-05,0.000933095,6.599696601,0.356372506,0.269687924,0.211185786,0.219178742
03 Menuet,classic,0.58550652,0.042384754,0.086539405,0.002386705,0.050546148,-24.81426013,3.047713029,-0.11537244,0.39598461,-0.206260811,0.000264045,0.000750825,0.000223031,0.000313468,11.37323358,0.434643669,0.217194491,0.171649922,0.1330283
03. Kyrie Eleison,classic,0.538838738,0.043750024,0.09816031,0.00244273,0.059701387,-24.47367026,1.679436454,-0.696791432,0.02971888,-0.142486727,0.000108377,0.00044467,9.86E-05,0.000224086,16.73528452,0.269997755,0.099648814,0.073895133,0.071777479
04 Menuet,classic,0.496273292,0.068901733,0.156716298,0.001362596,0.083131555,-24.09779765,1.498246064,-0.352077093,-0.043881003,-0.117095946,0.000166046,0.000290625,4.01E-06,0.001161557,8.958032191,0.387641662,0.433829188,0.173961164,0.144923086
04. Chor Gloria In Exelcis,classic,0.782842192,0.045987997,0.103023309,0.002998082,0.064614186,-25.52570668,1.56519937,-0.981169959,0.086557527,-0.107703963,0.000101105,0.000343478,6.81E-05,0.000305908,8.145681939,0.30467014,0.236635993,0.110286244,0.106343585
05 Polonaise,classic,0.514047077,0.082040454,0.169362878,0.001373192,0.117354517,-24.32350025,1.071360433,-0.420839387,-0.068982091,-0.152265074,0.000308012,0.000340233,3.24E-06,0.001455477,5.844254653,0.418143064,0.208596763,0.131868464,0.101241121
05. Aria For Soprano,classic,0.629136959,0.044485758,0.122253867,0.002530384,0.061922203,-25.24298506,1.75191125,-0.423878881,-0.365277726,-0.365166754,0.000266521,0.000459552,3.85E-05,0.001084529,4.599518863,0.372915739,0.253364214,0.146625447,0.145856861
06 Menuet,classic,0.519434629,0.06799595,0.147842779,0.001688183,0.098865378,-23.32377065,1.170839565,-0.388688042,-0.103132551,-0.539690991,0.000237592,0.000731115,0.000290066,0.001161502,15.82985713,0.141658284,0.185285231,0.12060862,0.101844118
06. Chor Gratias Animus Tibi,classic,0.621424315,0.044812404,0.101432124,0.002473825,0.061201299,-25.17763792,1.394021226,-0.793918432,-0.012412781,-0.192724601,0.000138152,0.000575986,0.000111468,0.000294161,26.38440098,0.296848689,0.127568043,0.090034984,0.081082545
07 Rondo,classic,0.537094466,0.077392034,0.169196927,0.001506529,0.107800291,-24.25245815,1.003129861,-0.648328706,-0.295137349,-0.253209686,0.000251635,0.000498595,0.000121257,0.001021689,6.358690596,0.485959132,0.319904178,0.140341513,0.100581251
07. Duet Domine Deus,classic,0.601052873,0.037822539,0.108679949,0.003735479,0.045996189,-25.11191313,1.783188489,-0.778700222,-0.138026019,-0.316461242,0.000162647,0.000610591,4.30E-05,0.000482099,5.308222606,0.925248068,0.422595843,0.231583564,0.314607378
08. Chor Qui Tollis,classic,0.621650734,0.039129438,0.092720697,0.003231599,0.052386727,-24.21245827,1.940697081,-0.98372854,0.03665243,0.100255744,4.71E-05,0.000326072,0.00012937,8.19E-05,10.22358907,0.171083435,0.144087096,0.087138335,0.090377045
09 Menuet,classic,0.462194429,0.056073819,0.094343825,0.002592666,0.054178717,-25.1118702,2.926021906,-0.215800219,0.200748398,-0.230831771,0.000384183,0.000681574,0.000277265,0.000196239,8.884443016,0.417097548,0.273177784,0.189477241,0.145341504
09. Aria Qui Sedes,classic,0.629692113,0.04053034,0.108676105,0.002718352,0.055802743,-26.0467278,1.606042038,-0.592124214,-0.05532145,-0.450293949,0.000228347,0.000527942,0.000103105,0.000537323,10.65194118,0.618548871,0.378711343,0.215322358,0.167029073
1.Bass Aria,classic,0.60069965,0.054058894,0.117127613,0.00191477,0.088096152,-23.72953936,1.365075662,-0.425961955,-0.007721076,-0.078896381,0.000377858,0.000691367,1.72E-06,0.001117328,1.55763167,0.389529897,0.247983056,0.176773358,0.138815689
10 Menuet,classic,0.460761199,0.042099273,0.085138475,0.004686261,0.042894544,-25.0882329,2.871579704,-0.13908627,-0.014775589,-0.231677602,0.000579413,0.000891189,0.000875943,0.000315436,18.39819727,0.423665489,0.230818864,0.140348743,0.151444931
10. Aria Quoniam,classic,0.641223529,0.026249899,0.080585388,0.002895314,0.042717626,-24.56595511,2.34861602,-1.170379895,-0.075115768,-0.438305758,2.73E-05,0.000488152,1.90E-05,0.000137198,5.708532726,0.559284591,0.147167723,0.101082742,0.084826875
10.Wir setzen uns mit Tr?nen nieder Chorus,classic,0.59393986,0.040135894,0.100472565,0.002383572,0.055634237,-22.86834763,1.989324137,-0.478868882,0.023363291,-0.027908054,8.68E-05,0.000288852,2.31E-06,0.000224226,1.756765034,0.161538029,0.174808209,0.077764999,0.082688837
11 Marche,classic,0.518125553,0.055861379,0.099963509,0.00562563,0.091737794,-24.7264159,1.048800633,-0.789975526,-0.120007001,-0.618818457,0.000283376,0.000689538,0.00048217,0.000719413,14.44656338,0.774642221,0.4057702,0.429820127,0.268683723
11. Chor Cum Sancto,classic,0.674573929,0.044490577,0.099298752,0.00349292,0.061718947,-24.74645276,1.646333204,-1.13558032,0.043226709,-0.101269229,7.97E-05,0.000301335,0.000106456,0.000237879,5.171647051,0.23358434,0.15061121,0.08813777,0.091362071
