name,genre,lowenergy,zerocrossing_mean,centroid_mean,flux_mean,rolloff_mean,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,zerocrossing_var,centroid_var,flux_var,rolloff_var,MFCC_1_var,MFCC_2_var,MFCC_3_var,MFCC_4_var,MFCC_5_var
01 Menuet,classic,0.56887582,0.032159763,0.084155105,0.003300438,0.050972076,-24.62609644,2.131947461,-0.928216889,0.198631314,-0.314806695,3.77E-05,0.000593385,4.87E-05,0.000146098,3.593325139,0.58478145,0.250244767,0.153360287,0.128940918
01. Kyrie Eleison,classic,0.624645336,0.040526516,0.093438773,0.003132584,0.056897253,-25.37147069,1.81136324,-1.205733969,0.024980922,-0.158374666,5.29E-05,0.000339821,6.14E-05,0.000110633,7.32201513,0.251554501,0.201753253,0.096976089,0.129272193
02 Menuet,classic,0.520134228,0.082391381,0.173128981,0.00142273,0.121701899,-24.52709325,0.867781352,-0.650616388,-0.257250885,-0.250135721,0.000275993,0.00035788,4.52E-06,0.001445631,5.449126035,0.523468382,0.219015239,0.136927772,0.098686394
02. Christe Eleison,classic,0.586239077,0.03513164,0.107800956,0.002663161,0.044644066,-24.55319985,2.117504942,-0.329999664,-0.267655578,-0.485589814,0.000230054,0.000618198,1.61E-05,0.00093309,6.599982809,0.35636815,0.26968763,0.211181609,0.219170795
03 Menuet,classic,0.58550652,0.042400682,0.086537767,0.002387767,0.050545921,-24.81426027,3.047701755,-0.115379752,0.395999381,-0.206263566,0.000264049,0.000750938,0.000225039,0.000313465,11.37321672,0.43469491,0.217200271,0.171643881,0.133026788
03. Kyrie Eleison,classic,0.538838738,0.043750024,0.098159122,0.002443743,0.059701488,-24.47370107,1.679436315,-0.696790988,0.029718827,-0.142486125,0.000108377,0.000444726,0.000100533,0.000224085,16.73684924,0.269999912,0.099648919,0.073894867,0.071777359
04 Menuet,classic,0.496273292,0.068820947,0.15660713,0.001363656,0.083127985,-24.09780468,1.498258605,-0.352092294,-0.043890174,-0.117093744,0.000166031,0.000292443,4.02E-06,0.001161306,8.95817783,0.387642338,0.433830447,0.173946661,0.144918142
04. Chor Gloria In Exelcis,classic,0.782842192,0.045987997,0.103021266,0.002998117,0.064614249,-25.5257071,1.565199765,-0.98116982,0.086557627,-0.10770389,0.000101105,0.000343522,6.81E-05,0.00030591,8.145684319,0.304670505,0.236636717,0.110286039,0.106343407
05 Polonaise,classic,0.514047077,0.081997941,0.169323572,0.001373727,0.117354103,-24.32351011,1.071355857,-0.420844872,-0.068982815,-0.152266278,0.000308671,0.000341441,3.25E-06,0.001455491,5.844435579,0.418154966,0.208599522,0.131868851,0.101240765
05. Aria For Soprano,classic,0.629136959,0.044485758,0.122246933,0.002533381,0.061922493,-25.24300621,1.751903302,-0.423872969,-0.365278028,-0.365165088,0.000266521,0.0004599,4.31E-05,0.001084554,4.600444281,0.372927252,0.25337106,0.146625048,0.145857055
06 Menuet,classic,0.519434629,0.06799595,0.147841158,0.001688203,0.098865912,-23.32377041,1.170838587,-0.38868839,-0.103132891,-0.539689645,0.000237592,0.000731228,0.000290086,0.001161537,15.82985614,0.141658487,0.185285437,0.120608154,0.101843356
06. Chor Gratias Animus Tibi,classic,0.621424315,0.044812404,0.10143104,0.002473793,0.061201299,-25.17763753,1.394020818,-0.793917989,-0.012412664,-0.192725034,0.000138152,0.000576017,0.000111391,0.000294161,26.38440107,0.296848753,0.127567945,0.090034859,0.081082184
07 Rondo,classic,0.537094466,0.077392034,0.169167974,0.001509909,0.107800291,-24.25248437,1.003140022,-0.648340628,-0.295138919,-0.25322234,0.000251635,0.000503904,0.000121928,0.001021702,6.359747657,0.485955429,0.319895694,0.140337598,0.100578135
07. Duet Domine Deus,classic,0.601052873,0.037822539,0.108670103,0.003734665,0.045996189,-25.11190665,1.783199712,-0.778700475,-0.138019226,-0.316451623,0.000162647,0.000610215,4.13E-05,0.000482085,5.307920626,0.925232307,0.422596404,0.231577773,0.314611977
08. Chor Qui Tollis,classic,0.621650734,0.039129438,0.092718648,0.003231644,0.052386727,-24.21245786,1.940696678,-0.98372875,0.036652489,0.100255416,4.71E-05,0.000326092,0.000129417,8.19E-05,10.22358904,0.171083705,0.144087644,0.087138676,0.090376979
09 Menuet,classic,0.462194429,0.056073819,0.094342827,0.002592678,0.054178717,-25.11186858,2.926021018,-0.215800909,0.200749669,-0.230832314,0.000384183,0.000681608,0.000277255,0.000196239,8.88443815,0.417096462,0.273173734,0.189474462,0.145342666
09. Aria Qui Sedes,classic,0.629692113,0.04053034,0.108644559,0.002719433,0.055802934,-26.04672665,1.606041874,-0.592126378,-0.055324427,-0.450294298,0.000228347,0.000529161,0.000103076,0.000537334,10.65189429,0.618548719,0.37871255,0.215320337,0.167030708
1.Bass Aria,classic,0.60069965,0.054058894,0.11712637,0.001914795,0.088096152,-23.7295391,1.365075979,-0.425962188,-0.007721199,-0.078896321,0.000377858,0.00069148,1.72E-06,0.001117334,1.55762818,0.389530746,0.247983588,0.17677299,0.138815773
10 Menuet,classic,0.460761199,0.042099273,0.08511168,0.004694072,0.042894239,-25.08826109,2.871613724,-0.139126061,-0.01474905,-0.231703789,0.000579413,0.00089401,0.000882187,0.000315427,18.39892069,0.423696763,0.230825128,0.140347856,0.15142978
10. Aria Quoniam,classic,0.641223529,0.026253742,0.080579719,0.002895832,0.042717455,-24.56596559,2.348612801,-1.170376657,-0.075105912,-0.438309099,2.73E-05,0.000488052,1.97E-05,0.000137198,5.70897063,0.559298541,0.147171893,0.101088984,0.084826144
10.Wir setzen uns mit Tr?nen nieder Chorus,classic,0.59393986,0.040135894,0.100471593,0.002383665,0.055634237,-22.8683473,1.989323948,-0.478869091,0.023363613,-0.027908287,8.68E-05,0.000288912,2.33E-06,0.000224228,1.756755702,0.161537936,0.174808146,0.077764921,0.082688786
11 Marche,classic,0.518125553,0.055861379,0.099944613,0.005628389,0.091737794,-24.72641857,1.048806542,-0.789982114,-0.120006756,-0.618823453,0.000283376,0.000690625,0.0004826,0.000719425,14.44659878,0.774639623,0.405771967,0.429812213,0.268683809
11. Chor Cum Sancto,classic,0.674573929,0.044490577,0.099297908,0.003492923,0.061718947,-24.74645341,1.646333913,-1.135580295,0.043226734,-0.101268647,7.97E-05,0.000301358,0.000106435,0.000237879,5.171651233,0.233585065,0.150610705,0.088137617,0.091362122
12. Chor Credo In Unum Deum,classic,0.525547445,0.042072734,0.098885442,0.003951695,0.055770456,-23.81098477,1.768618577,-1.325800698,-0.006261676,0.047523052,5.89E-05,0.000342378,0.000153286,0.000101723,8.153365463,0.200518934,0.13960996,0.113095732,0.082924852
13 Marche,classic,0.476548329,0.021310167,0.109519069,0.004095386,0.046176496,-24.94863871,1.938301561,-0.248578612,0.084866485,-0.020487969,0.000121261,0.001099084,0.000295315,0.000433117,23.57852648,0.593166365,0.315621384,0.234955203,0.191707012
13. Chor Patrem Omnipotentem,classic,0.688636901,0.041869946,0.096415939,0.003302278,0.058897702,-24.51657453,1.816953117,-0.879921256,0.177639425,0.062901317,9.71E-05,0.000394037,0.000129395,0.000243497,8.971543994,0.251092276,0.138736386,0.103530093,0.078459119
14 Polonaise,classic,0.580682475,0.068596426,0.156167153,0.001242343,0.093656415,-23.04161725,1.4940217,-0.509504701,-0.088707246,-0.00117297,0.000115792,0.000248656,2.14E-06,0.001115806,1.629309904,0.252525081,0.216122676,0.132482928,0.078916707
