,NB,DT,SVM,Network,SNB+FULL,SNB+BIC,SVM+Audio,LR_SVM,DT_Audio,LR_DT,Network_Audio,LR_network,NB_Audio,LR_NB,,,,,,,,,,,
121,0.740131579,0.789473684,0.786184211,0.815789474,0.878289474,0.884868421,0.786184211,0.884868421,0.815789474,0.815789474,0.723684211,0.901315789,0.733552632,0.884868421,,,,,,,,,,,
122,0.759868421,0.786184211,0.773026316,0.858552632,0.868421053,0.878289474,0.802631579,0.868421053,0.842105263,0.842105263,0.457236842,0.878289474,0.733552632,0.878289474,,,,,,,,,,,
123,0.756578947,0.786184211,0.578947368,0.891447368,0.901315789,0.898026316,0.802631579,0.901315789,0.805921053,0.805921053,0.674342105,0.898026316,0.740131579,0.898026316,,,,,,,,,,,
124,0.746710526,0.782894737,0.769736842,0.796052632,0.851973684,0.865131579,0.756578947,0.868421053,0.786184211,0.786184211,0.3125,0.865131579,0.756578947,0.865131579,,,,,,,,,,,
125,0.796052632,0.766447368,0.825657895,0.917763158,0.851973684,0.855263158,0.759868421,0.865131579,0.819078947,0.819078947,0.694078947,0.858552632,0.75,0.855263158,,,,,,,,,,,
126,0.759868421,0.786184211,0.753289474,0.868421053,0.858552632,0.855263158,0.773026316,0.878289474,0.858552632,0.858552632,0.690789474,0.842105263,0.730263158,0.858552632,,,,,,,,,,,
127,0.763157895,0.786184211,0.8125,0.838815789,0.861842105,0.858552632,0.802631579,0.865131579,0.845394737,0.845394737,0.769736842,0.855263158,0.720394737,0.858552632,,,,,,,,,,,
128,0.726973684,0.842105263,0.815789474,0.884868421,0.868421053,0.878289474,0.789473684,0.881578947,0.832236842,0.832236842,0.740131579,0.891447368,0.723684211,0.881578947,,,,,,,,,,,
129,0.782894737,0.825657895,0.769736842,0.901315789,0.875,0.875,0.805921053,0.894736842,0.828947368,0.828947368,0.401315789,0.875,0.766447368,0.875,,,,,,,,,,,
130,0.792763158,0.789473684,0.743421053,0.914473684,0.868421053,0.878289474,0.842105263,0.881578947,0.848684211,0.848684211,0.756578947,0.868421053,0.773026316,0.878289474,,,,,,,,,,,
131,0.756578947,0.796052632,0.809210526,0.851973684,0.871710526,0.881578947,0.769736842,0.898026316,0.855263158,0.855263158,0.664473684,0.881578947,0.756578947,0.881578947,,,,,,,,,,,
132,0.756578947,0.796052632,0.773026316,0.871710526,0.835526316,0.845394737,0.8125,0.851973684,0.838815789,0.838815789,0.601973684,0.845394737,0.766447368,0.845394737,,,,,,,,,,,
133,0.822368421,0.789473684,0.766447368,0.881578947,0.875,0.881578947,0.766447368,0.894736842,0.809210526,0.809210526,0.309210526,0.881578947,0.726973684,0.888157895,,,,,,,,,,,
134,0.756578947,0.779605263,0.786184211,0.815789474,0.851973684,0.865131579,0.759868421,0.875,0.822368421,0.822368421,0.700657895,0.865131579,0.763157895,0.865131579,,,,,,,,,,,
135,0.773026316,0.8125,0.776315789,0.842105263,0.858552632,0.861842105,0.726973684,0.858552632,0.845394737,0.845394737,0.444078947,0.861842105,0.740131579,0.861842105,,,,,,,,,,,
136,0.75,0.786184211,0.776315789,0.901315789,0.825657895,0.838815789,0.779605263,0.861842105,0.822368421,0.822368421,0.657894737,0.835526316,0.786184211,0.838815789,,,,,,,,,,,
137,0.677631579,0.786184211,0.759868421,0.865131579,0.855263158,0.875,0.805921053,0.881578947,0.835526316,0.835526316,0.661184211,0.871710526,0.723684211,0.838815789,,,,,,,,,,,
138,0.736842105,0.792763158,0.802631579,0.815789474,0.891447368,0.888157895,0.799342105,0.884868421,0.822368421,0.822368421,0.713815789,0.884868421,0.710526316,0.851973684,,,,,,,,,,,
