name,genre,lowenergy,zerocrossing_mean,centroid_mean,flux_mean,rolloff_mean,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,zerocrossing_var,centroid_var,flux_var,rolloff_var,MFCC_1_var,MFCC_2_var,MFCC_3_var,MFCC_4_var,MFCC_5_var
BLBOSSA,jazz,0.55772396,0.084422323,0.234866507,0.00460231,0.127278577,-25.52415167,2.455486438,0.568557143,0.406689433,-0.20671948,0.002539671,0.007665501,0.000240525,0.018816174,9.920742622,0.45560126,0.232152488,0.154496075,0.15051111
Blknrcs,jazz,0.679034483,0.078352845,0.196310294,0.003480489,0.098176106,-25.97831603,2.823556723,-0.474269132,0.040730124,-0.482305796,0.003311414,0.006327459,1.98E-05,0.016859182,3.828899734,0.330546196,0.203634734,0.213973994,0.206957568
BlueMonk,jazz,0.567263936,0.042680199,0.103788404,0.004107161,0.06070641,-26.22208795,3.039380993,0.210057227,0.432778417,-0.441852769,0.000302577,0.000995756,0.000151534,0.001039655,17.44729779,0.58424181,0.398939215,0.166184501,0.159547219
Bluenboo,jazz,0.694234405,0.105273347,0.252487961,0.003141688,0.149888157,-26.09281576,2.317382181,0.277152544,0.335938699,-0.176791829,0.003123513,0.00709212,0.000235187,0.029693523,14.3530374,0.411249847,0.159753991,0.135837835,0.098936759
BlueRondo,jazz,0.488972313,0.056418571,0.116063487,0.004127783,0.083433474,-23.73757915,2.70388295,-0.435513305,0.38757984,-0.54633566,0.000262686,0.000600454,1.92E-05,0.00060866,1.427746174,0.398093454,0.506711259,0.128294071,0.096423047
Blues4Basie,jazz,0.580601262,0.05747758,0.143959588,0.003640649,0.088212967,-24.07263054,2.602397431,0.521309876,0.265837349,-0.602231849,0.00142842,0.002713587,8.32E-06,0.007552423,2.639908564,0.388255823,0.158350487,0.257106687,0.11096604
blues4npage,jazz,0.591578297,0.05952424,0.14454462,0.004640231,0.090329293,-25.61170435,2.532764325,0.09102566,0.688047636,0.137187056,0.002923197,0.004695508,7.07E-05,0.010693974,16.79556751,0.797863073,0.395383619,0.347154043,0.261853277
BluesForTrane,jazz,0.577708006,0.099784606,0.19069021,0.002713831,0.170526906,-23.47786122,1.544594565,-0.179218327,0.011294368,-0.477866943,0.00096694,0.002256839,3.70E-05,0.004808447,4.861447421,0.338525149,0.261594842,0.137526091,0.139886604
blueswalk,jazz,0.640676212,0.101908391,0.228076825,0.003223263,0.156813071,-25.79347237,2.080283569,0.158342724,0.376562529,-0.151158778,0.003844198,0.006413035,0.000156802,0.022656544,12.77572982,0.446891861,0.332506018,0.126024313,0.127864219
BlueTrain,jazz,0.607793154,0.064127625,0.159264533,0.004848555,0.08540735,-24.96098622,2.604231792,0.415288739,0.370697373,-0.104191382,0.005663289,0.005402154,0.000105886,0.018342657,4.301246158,0.58259129,0.279931441,0.186462573,0.168626109
